local_authority,councillor,year,period,category,value,unit,source_url
Dublin City,Michael Pidgeon,2024,2024-Aug,meetings_attended,0.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Aug,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Aug,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Aug,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Aug,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Dec,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Dec,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Dec,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Dec,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Dec,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Feb,deductions,62.55,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Feb,meetings_attended,4.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Feb,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Feb,total_payment,478.88,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Feb,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Feb,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jan,deductions,62.55,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jan,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jan,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jan,total_payment,478.88,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jan,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jan,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jul,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jul,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jul,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jul,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jul,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jun,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jun,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jun,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Jun,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Mar,deductions,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Mar,meetings_attended,2.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Mar,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Mar,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Mar,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Mar,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-May,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-May,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-May,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-May,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-May,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Nov,meetings_attended,4.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Nov,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Nov,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Nov,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Nov,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Oct,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Oct,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Oct,total_payment,651.42,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Oct,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Oct,vouched_expenses,109.99,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Sep,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Sep,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Sep,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Sep,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Pidgeon,2024,2024-Sep,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Apr,deductions,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Apr,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Apr,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Apr,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Apr,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Apr,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Feb,deductions,62.55,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Feb,meetings_attended,2.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Feb,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Feb,total_payment,478.88,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Feb,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Feb,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,deductions,62.55,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,meetings_attended,2.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,prior_year_adjustment,358.9,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,total_payment,837.78,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jan,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jun,petty_cash,37.33,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jun,total_payment,252.66,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jun,travel_subsistence,215.33,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Jun,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Mar,deductions,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Mar,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Mar,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Mar,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Mar,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-Mar,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-May,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-May,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-May,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-May,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Michael Watters,2024,2024-May,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Apr,deductions,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Apr,meetings_attended,1.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Apr,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Apr,total_payment,467.6,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Apr,travel_subsistence,387.6,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Apr,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Aug,meetings_attended,0.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Aug,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Aug,total_payment,495.29,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Aug,travel_subsistence,415.29,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Aug,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Miche�l MacDonncha,2024,2024-Dec,meetings_attended,5.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
